File Path,File Size,File Mode,File Modified,File Created,File Header
\\alpha\profiles\jwren\My Documents\AutoMate\AutoMate 11\Tasks\Excel - Write Data To Excel.aml,4697,33206,Thu Oct  3 11:29:27 2019,Tue Oct 12 11:44:39 2021,b'3c3f786d6c2076657273696f6e3d22312e302220'
\\alpha\profiles\jwren\My Documents\AutoMate\AutoMate 11\Tasks\FTP - Detete Files From Server.aml,5421,33206,Thu Oct  3 11:29:28 2019,Tue Oct 12 11:44:40 2021,b'3c3f786d6c2076657273696f6e3d22312e302220'
\\alpha\profiles\jwren\My Documents\AutoMate\AutoMate 11\Tasks\FTP - Directory Listing.aml,5416,33206,Thu Oct  3 11:29:29 2019,Tue Oct 12 11:44:40 2021,b'3c3f786d6c2076657273696f6e3d22312e302220'
\\alpha\profiles\jwren\My Documents\AutoMate\AutoMate 11\Tasks\FTP - Download By Date.aml,5032,33206,Thu Oct  3 11:29:29 2019,Tue Oct 12 11:44:40 2021,b'3c3f786d6c2076657273696f6e3d22312e302220'
\\alpha\profiles\jwren\My Documents\AutoMate\AutoMate 11\Tasks\FTP - Loop Files Download Choice.aml,5023,33206,Thu Oct  3 11:29:29 2019,Tue Oct 12 11:44:40 2021,b'3c3f786d6c2076657273696f6e3d22312e302220'
\\alpha\profiles\jwren\My Documents\AutoMate\AutoMate 11\Tasks\FTP AWG Movement into CA (1).aml,2610,33206,Thu Oct  3 11:29:45 2019,Tue Oct 12 11:44:40 2021,b'3c3f786d6c2076657273696f6e3d22312e302220'
\\alpha\profiles\jwren\My Documents\AutoMate\AutoMate 11\Tasks\FTP in Label Files from AWG (1).aml,5468,33206,Thu Oct  3 11:29:45 2019,Tue Oct 12 11:44:40 2021,b'3c3f786d6c2076657273696f6e3d22312e302220'
\\alpha\profiles\jwren\My Documents\AutoMate\AutoMate 11\Tasks\FTP in Label Files from AWG.aml,5189,33206,Thu Oct  3 11:29:42 2019,Tue Oct 12 11:44:40 2021,b'3c3f786d6c2076657273696f6e3d22312e302220'
\\alpha\profiles\jwren\My Documents\AutoMate\AutoMate 11\Tasks\FTP in Nuval Attributes File from AWG.aml,5266,33206,Thu Oct  3 11:29:41 2019,Tue Oct 12 11:44:40 2021,b'3c3f786d6c2076657273696f6e3d22312e302220'
\\alpha\profiles\jwren\My Documents\AutoMate\AutoMate 11\Tasks\File Management - Add Date To Beginning Of Each Filename.aml,4653,33206,Thu Oct  3 11:29:27 2019,Tue Oct 12 11:44:39 2021,b'3c3f786d6c2076657273696f6e3d22312e302220'
\\alpha\profiles\jwren\My Documents\AutoMate\AutoMate 11\Tasks\File Management - CSV To Dataset.aml,3266,33206,Thu Oct  3 11:29:27 2019,Tue Oct 12 11:44:39 2021,b'3c3f786d6c2076657273696f6e3d22312e302220'
\\alpha\profiles\jwren\My Documents\AutoMate\AutoMate 11\Tasks\File Management - Determine File Size.aml,4337,33206,Thu Oct  3 11:29:27 2019,Tue Oct 12 11:44:39 2021,b'3c3f786d6c2076657273696f6e3d22312e302220'
\\alpha\profiles\jwren\My Documents\AutoMate\AutoMate 11\Tasks\File Management - File Path Specifics.aml,4071,33206,Thu Oct  3 11:29:27 2019,Tue Oct 12 11:44:39 2021,b'3c3f786d6c2076657273696f6e3d22312e302220'
\\alpha\profiles\jwren\My Documents\AutoMate\AutoMate 11\Tasks\File Management - Folder And File Count.aml,4173,33206,Thu Oct  3 11:29:27 2019,Tue Oct 12 11:44:39 2021,b'3c3f786d6c2076657273696f6e3d22312e302220'
\\alpha\profiles\jwren\My Documents\AutoMate\AutoMate 11\Tasks\File Management - Get File Name Without Extension.aml,4425,33206,Thu Oct  3 11:29:27 2019,Tue Oct 12 11:44:39 2021,b'3c3f786d6c2076657273696f6e3d22312e302220'
\\alpha\profiles\jwren\My Documents\AutoMate\AutoMate 11\Tasks\File Management - Get File Name Without Path.aml,4706,33206,Thu Oct  3 11:29:27 2019,Tue Oct 12 11:44:39 2021,b'3c3f786d6c2076657273696f6e3d22312e302220'
\\alpha\profiles\jwren\My Documents\AutoMate\AutoMate 11\Tasks\File Management - If File Is Older.aml,4194,33206,Thu Oct  3 11:29:28 2019,Tue Oct 12 11:44:40 2021,b'3c3f786d6c2076657273696f6e3d22312e302220'
\\alpha\profiles\jwren\My Documents\AutoMate\AutoMate 11\Tasks\File Management - If File Is Zero Bytes.aml,4754,33206,Thu Oct  3 11:29:28 2019,Tue Oct 12 11:44:40 2021,b'3c3f786d6c2076657273696f6e3d22312e302220'
\\alpha\profiles\jwren\My Documents\AutoMate\AutoMate 11\Tasks\Flow - If Else Evaluate Variable.aml,4452,33206,Thu Oct  3 11:29:28 2019,Tue Oct 12 11:44:40 2021,b'3c3f786d6c2076657273696f6e3d22312e302220'
\\alpha\profiles\jwren\My Documents\AutoMate\AutoMate 11\Tasks\Flow - If File Exists.aml,4180,33206,Thu Oct  3 11:29:28 2019,Tue Oct 12 11:44:40 2021,b'3c3f786d6c2076657273696f6e3d22312e302220'
\\alpha\profiles\jwren\My Documents\AutoMate\AutoMate 11\Tasks\Flow - If Window Is Focused.aml,4135,33206,Thu Oct  3 11:29:28 2019,Tue Oct 12 11:44:40 2021,b'3c3f786d6c2076657273696f6e3d22312e302220'
\\alpha\profiles\jwren\My Documents\AutoMate\AutoMate 11\Tasks\GUI Automation - Get Text.aml,4689,33206,Thu Oct  3 11:29:29 2019,Tue Oct 12 11:44:40 2021,b'3c3f786d6c2076657273696f6e3d22312e302220'
\\alpha\profiles\jwren\My Documents\AutoMate\AutoMate 11\Tasks\GUI Automation - Google Search.aml,4321,33206,Thu Oct  3 11:29:29 2019,Tue Oct 12 11:44:40 2021,b'3c3f786d6c2076657273696f6e3d22312e302220'
\\alpha\profiles\jwren\My Documents\AutoMate\AutoMate 11\Tasks\GUI Automation - Send Keystrokes In Notepad.aml,4003,33206,Thu Oct  3 11:29:29 2019,Tue Oct 12 11:44:40 2021,b'3c3f786d6c2076657273696f6e3d22312e302220'
\\alpha\profiles\jwren\My Documents\AutoMate\AutoMate 11\Tasks\GUI Automation - Send Keystrokes, Move Mouse And Other Neat Tricks.aml,5255,33206,Thu Oct  3 11:29:30 2019,Tue Oct 12 11:44:40 2021,b'3c3f786d6c2076657273696f6e3d22312e302220'
\\alpha\profiles\jwren\My Documents\AutoMate\AutoMate 11\Tasks\HQ Vendor Cost and Allowance Extract.aml,3236,33206,Thu Oct  3 11:29:45 2019,Tue Oct 12 11:44:40 2021,b'3c3f786d6c2076657273696f6e3d22312e302220'
\\alpha\profiles\jwren\My Documents\AutoMate\AutoMate 11\Tasks\HTTP - Stock Price Check Using HTTP Post.aml,4677,33206,Thu Oct  3 11:29:30 2019,Tue Oct 12 11:44:40 2021,b'3c3f786d6c2076657273696f6e3d22312e302220'
\\alpha\profiles\jwren\My Documents\AutoMate\AutoMate 11\Tasks\HTTP - Yahoo Home Page Return.aml,4326,33206,Thu Oct  3 11:29:30 2019,Tue Oct 12 11:44:40 2021,b'3c3f786d6c2076657273696f6e3d22312e302220'
\\alpha\profiles\jwren\My Documents\AutoMate\AutoMate 11\Tasks\Import Inventory.aml,1841,33206,Thu Oct  3 11:30:01 2019,Tue Oct 12 11:44:40 2021,b'3c3f786d6c2076657273696f6e3d22312e302220'
\\alpha\profiles\jwren\My Documents\AutoMate\AutoMate 11\Tasks\Invoice Send to FMS.aml,2272,33206,Thu Oct  3 11:29:43 2019,Tue Oct 12 11:44:40 2021,b'3c3f786d6c2076657273696f6e3d22312e302220'
\\alpha\profiles\jwren\My Documents\AutoMate\AutoMate 11\Tasks\Jbrain Watchdog.aml,1743,33206,Thu Oct  3 11:29:38 2019,Tue Oct 12 11:44:40 2021,b'3c3f786d6c2076657273696f6e3d22312e302220'
\\alpha\profiles\jwren\My Documents\AutoMate\AutoMate 11\Tasks\Load Purchase Data.aml,1802,33206,Thu Oct  3 11:30:01 2019,Tue Oct 12 11:44:40 2021,b'3c3f786d6c2076657273696f6e3d22312e302220'
\\alpha\profiles\jwren\My Documents\AutoMate\AutoMate 11\Tasks\Loop - Break Out Of A Loop.aml,3983,33206,Thu Oct  3 11:29:30 2019,Tue Oct 12 11:44:40 2021,b'3c3f786d6c2076657273696f6e3d22312e302220'
\\alpha\profiles\jwren\My Documents\AutoMate\AutoMate 11\Tasks\Loop - Holiday Exclusion.aml,6216,33206,Thu Oct  3 11:29:31 2019,Tue Oct 12 11:44:40 2021,b'3c3f786d6c2076657273696f6e3d22312e302220'
\\alpha\profiles\jwren\My Documents\AutoMate\AutoMate 11\Tasks\Loop - Loop And Display Count.aml,4087,33206,Thu Oct  3 11:29:31 2019,Tue Oct 12 11:44:40 2021,b'3c3f786d6c2076657273696f6e3d22312e302220'
\\alpha\profiles\jwren\My Documents\AutoMate\AutoMate 11\Tasks\Loop - Loop Dataset Using Excel Actions.aml,5174,33206,Thu Oct  3 11:29:31 2019,Tue Oct 12 11:44:40 2021,b'3c3f786d6c2076657273696f6e3d22312e302220'
\\alpha\profiles\jwren\My Documents\AutoMate\AutoMate 11\Tasks\Loop - Loop Files After Choosing Folder.aml,4095,33206,Thu Oct  3 11:29:31 2019,Tue Oct 12 11:44:41 2021,b'3c3f786d6c2076657273696f6e3d22312e302220'
\\alpha\profiles\jwren\My Documents\AutoMate\AutoMate 11\Tasks\Loop - Loop List.aml,4294,33206,Thu Oct  3 11:29:31 2019,Tue Oct 12 11:44:41 2021,b'3c3f786d6c2076657273696f6e3d22312e302220'
\\alpha\profiles\jwren\My Documents\AutoMate\AutoMate 11\Tasks\Loop - Loop Processes.aml,4170,33206,Thu Oct  3 11:29:31 2019,Tue Oct 12 11:44:41 2021,b'3c3f786d6c2076657273696f6e3d22312e302220'
\\alpha\profiles\jwren\My Documents\AutoMate\AutoMate 11\Tasks\Loop - Nested Loop.aml,4190,33206,Thu Oct  3 11:29:31 2019,Tue Oct 12 11:44:41 2021,b'3c3f786d6c2076657273696f6e3d22312e302220'
\\alpha\profiles\jwren\My Documents\AutoMate\AutoMate 11\Tasks\Luke Exception Reports - used for examples.aml,10321,33206,Thu Oct  3 11:29:40 2019,Tue Oct 12 11:44:41 2021,b'3c3f786d6c2076657273696f6e3d22312e302220'
\\alpha\profiles\jwren\My Documents\AutoMate\AutoMate 11\Tasks\Luke Exception Reports.aml,9366,33206,Thu Oct  3 11:29:47 2019,Tue Oct 12 11:44:41 2021,b'3c3f786d6c2076657273696f6e3d22312e302220'
\\alpha\profiles\jwren\My Documents\AutoMate\AutoMate 11\Tasks\Manager Privileges Report.aml,5025,33206,Thu Oct  3 11:29:59 2019,Tue Oct 12 11:44:41 2021,b'3c3f786d6c2076657273696f6e3d22312e302220'
\\alpha\profiles\jwren\My Documents\AutoMate\AutoMate 11\Tasks\Multimedia - Play Audio.aml,64384,33206,Thu Oct  3 11:29:31 2019,Tue Oct 12 11:44:41 2021,b'3c3f786d6c2076657273696f6e3d22312e302220'
\\alpha\profiles\jwren\My Documents\AutoMate\AutoMate 11\Tasks\Multimedia - Speak Custom Text.aml,3306,33206,Thu Oct  3 11:29:32 2019,Tue Oct 12 11:44:41 2021,b'3c3f786d6c2076657273696f6e3d22312e302220'
\\alpha\profiles\jwren\My Documents\AutoMate\AutoMate 11\Tasks\Multimedia - Talking Clock.aml,3680,33206,Thu Oct  3 11:29:32 2019,Tue Oct 12 11:44:41 2021,b'3c3f786d6c2076657273696f6e3d22312e302220'
\\alpha\profiles\jwren\My Documents\AutoMate\AutoMate 11\Tasks\New Managed Task.aml,1545,33206,Thu Oct  3 11:30:01 2019,Tue Oct 12 11:44:41 2021,b'3c3f786d6c2076657273696f6e3d22312e302220'
\\alpha\profiles\jwren\My Documents\AutoMate\AutoMate 11\Tasks\Ping VPN's (1).aml,1958,33206,Thu Oct  3 11:29:47 2019,Tue Oct 12 11:44:41 2021,b'3c3f786d6c2076657273696f6e3d22312e302220'
\\alpha\profiles\jwren\My Documents\AutoMate\AutoMate 11\Tasks\Powershell Move Files to Sharepoint.aml,1651,33206,Thu Oct  3 11:29:55 2019,Tue Oct 12 11:44:41 2021,b'3c3f786d6c2076657273696f6e3d22312e302220'
\\alpha\profiles\jwren\My Documents\AutoMate\AutoMate 11\Tasks\Preliminary Sales Report.aml,1782,33206,Thu Oct  3 11:30:01 2019,Tue Oct 12 11:44:41 2021,b'3c3f786d6c2076657273696f6e3d22312e302220'
\\alpha\profiles\jwren\My Documents\AutoMate\AutoMate 11\Tasks\Print DSD Tags (1) (1).aml,3679,33206,Thu Oct  3 11:29:47 2019,Tue Oct 12 11:44:41 2021,b'3c3f786d6c2076657273696f6e3d22312e302220'
\\alpha\profiles\jwren\My Documents\AutoMate\AutoMate 11\Tasks\Print DSD Tags.aml,3577,33206,Thu Oct  3 11:29:37 2019,Tue Oct 12 11:44:41 2021,b'3c3f786d6c2076657273696f6e3d22312e302220'
\\alpha\profiles\jwren\My Documents\AutoMate\AutoMate 11\Tasks\Pull DSD Export files.aml,6267,33206,Thu Oct  3 11:29:58 2019,Tue Oct 12 11:44:41 2021,b'3c3f786d6c2076657273696f6e3d22312e302220'
\\alpha\profiles\jwren\My Documents\AutoMate\AutoMate 11\Tasks\Pull TLOG files Automatic.aml,7946,33206,Thu Oct  3 11:29:49 2019,Tue Oct 12 11:44:41 2021,b'3c3f786d6c2076657273696f6e3d22312e302220'
\\alpha\profiles\jwren\My Documents\AutoMate\AutoMate 11\Tasks\Pull TLOG files Manual.aml,7209,33206,Thu Oct  3 11:29:50 2019,Tue Oct 12 11:44:41 2021,b'3c3f786d6c2076657273696f6e3d22312e302220'
\\alpha\profiles\jwren\My Documents\AutoMate\AutoMate 11\Tasks\Reading And Writing Data - Read File.aml,2971,33206,Thu Oct  3 11:29:32 2019,Tue Oct 12 11:44:41 2021,b'3c3f786d6c2076657273696f6e3d22312e302220'
\\alpha\profiles\jwren\My Documents\AutoMate\AutoMate 11\Tasks\Reading And Writing Data - Read From Files.aml,4084,33206,Thu Oct  3 11:29:32 2019,Tue Oct 12 11:44:41 2021,b'3c3f786d6c2076657273696f6e3d22312e302220'
\\alpha\profiles\jwren\My Documents\AutoMate\AutoMate 11\Tasks\Reading And Writing Data - Write To File.aml,3238,33206,Thu Oct  3 11:29:32 2019,Tue Oct 12 11:44:41 2021,b'3c3f786d6c2076657273696f6e3d22312e302220'
\\alpha\profiles\jwren\My Documents\AutoMate\AutoMate 11\Tasks\Rind Import - AWG Bakery.aml,3914,33206,Thu Oct  3 11:29:50 2019,Tue Oct 12 11:44:41 2021,b'3c3f786d6c2076657273696f6e3d22312e302220'
\\alpha\profiles\jwren\My Documents\AutoMate\AutoMate 11\Tasks\Rind Import - AWG Deli.aml,3808,33206,Thu Oct  3 11:29:51 2019,Tue Oct 12 11:44:41 2021,b'3c3f786d6c2076657273696f6e3d22312e302220'
